DISTRICT,Apr-23,May-23,Nov-23,Apr-24,Apr-23,May-23,Nov-23,Normal(mm),Actual(mm),Deviation(%),Latitude,Longitude
Srikakulam,8.43,8.52,6.75,9.94,-1.52,-1.42,-3.2,1087.51,836.79,-23.05,18.3,83.9
Vizianagaram,5.75,5.59,4.76,7.09,-1.34,-1.5,-2.33,1028.14,909.22,-11.57,18.1,83.4
Parvathipuram Manyam,7.14,7.38,6.04,8.71,-1.58,-1.33,-2.67,1083.28,1014.53,-6.35,18.7,83.4
Alluri Sitharama Raju,8.61,8.57,7.64,8.81,-0.2,-0.25,-1.18,1218,1100.25,-9.67,18,82.6
Visakhapatnam,8.1,8.56,8.19,10.1,-2,-1.53,-1.91,1053.14,822.47,-21.9,17.7,83.3
Anakapalli,6.31,6.49,6.24,7.89,-1.58,-1.41,-1.65,1104.38,900.86,-18.43,17.6,83
Kakinada,7.73,7.64,7.2,9.08,-1.36,-1.45,-1.88,1078.86,801.88,-25.67,16.9,82.2
Konaseema,3.67,3.62,3.04,3.64,0.03,-0.02,-0.59,1245.74,845.17,-32.16,16.3,82
East Godavari,25.78,25.15,23.08,24.87,0.91,0.28,-1.79,1087.68,923.33,-15.11,17.3,82
West Godavari,8.37,8.47,8.23,9.14,-0.77,-0.66,-0.9,1178.52,998.21,-15.3,16.9,81.3
Eluru,21.43,21.94,20.77,22.82,-1.39,-0.88,-2.05,1014.09,1032.77,1.84,16.7,81.1
Krishna,9.41,9.23,8.82,10.26,-0.84,-1.03,-1.43,1003.95,1121.3,11.69,12.5,78.2
NTR,7.1,6.9,6.16,8.06,-0.96,-1.16,-1.9,981.34,933.14,-4.91,16.5,80.2
Guntur,5.89,3.99,4.66,7.87,-1.98,-3.88,-3.21,853.35,1023.9,19.99,16.2,80.4
Bapatla,3.59,3.65,3.34,4.54,-0.96,-0.9,-1.21,879.81,1025.22,16.53,15.9,80.4
Palnadu,11.19,10.99,12.52,17.98,-6.79,-7,-5.46,726.31,796.74,9.7,16.3,80.2
Prakasam,17.48,16.81,17.73,23.32,-5.85,-6.51,-5.59,793.16,639.53,-19.37,15.3,79.5
Sri Potti Sriramulu Nellore,5.17,5.37,6.92,6.5,-1.33,-1.13,0.42,1009.81,785.7,-22.19,14.4,79.9
COASTAL ANDHRA REGION,9.51,9.38,9.01,11.15,-1.64,-1.77,-2.14,938.63,824.3,-12.28,15.4,80.5
Kurnool,6.91,7.12,7.8,10.27,-3.37,-3.16,-2.48,572.44,389.85,-31.9,15.8,78
Nandyal,7.47,6.4,7.06,13.12,-5.66,-6.72,-6.07,686.97,484.58,-29.46,15.4,78.4
Ananthapuramu,7.84,7.61,10.04,14.38,-6.54,-6.77,-4.34,477.99,358.3,-25.04,14.6,77.6
Sri Sathya Sai,8.35,7.85,10.5,17.12,-8.77,-9.28,-6.62,551.19,411.79,-25.29,14.1,77.7
Y.S.R Kadapa,8.17,8.41,8.78,15.45,-7.29,-7.04,-6.67,650.52,528.37,-18.78,14.4,78.8
Annamayya,8.62,9.16,11.45,20.23,-11.62,-11.08,-8.79,706.3,676.21,-4.26,14,78.4
Chittoor,9.6,9.03,8.91,13.45,-3.85,-4.42,-4.53,855.77,886.46,3.59,13.2,79.1
Tirupati,4.67,4.61,5.63,6.07,-1.4,-1.46,-0.44,1071.07,995.7,-7.04,13.6,79.4
RAYALASEEMA REGION,7.7,7.52,8.77,13.76,-6.06,-6.24,-4.99,702.81,618.36,-15.57,14,78
